Gender,Age,CGPA,Matriculation Percentage,Intermediate Percentage,Data Structures And Algorithm Marks,DBMS Marks,Number of backlogs,Number of Reappears,History of Reappear/Backlogs,Programming proficiency,GitHub total repositories,GitHub commits/month,Experience with frameworks,English proficiency,Coding practice hours/week,Aptitude score,Attandance,Recommended Career
Male,22,6.5,70.0,72.0,55.0,60.0,3.0,2.0,Difficulty grasping core computer science concepts.,Beginner,1.0,2.0,,Poor,5.0,45.0,60.0,Software Engineer
Female,19,9.5,95.0,94.0,98.0,95.0,0.0,0.0,Strong interest in artificial intelligence and deep learning.,Advanced,15.0,50.0,Node,Excellent,30.0,92.0,95.0,Software Engineer
Male,21,7.8,80.0,82.0,70.0,75.0,1.0,0.0,Exploring different programming languages and technologies.,Intermediate,5.0,15.0,React,Average,15.0,65.0,78.0,Software Engineer
Female,20,8.2,85.0,83.0,75.0,80.0,0.0,0.0,Interested in database management and data analysis.,Intermediate,7.0,20.0,,Good,18.0,70.0,82.0,Software Engineer
Male,23,5.8,65.0,68.0,45.0,50.0,5.0,3.0,Needs to improve fundamental programming skills.,Beginner,0.0,0.0,,Poor,3.0,35.0,55.0,Software Engineer
Female,18,9.7,97.0,96.0,99.0,98.0,0.0,0.0,Passionate about research in computer science.,Advanced,18.0,60.0,Django,Excellent,35.0,95.0,98.0,Software Engineer
Male,20,7.3,77.0,75.0,60.0,65.0,2.0,1.0,Working on improving coding speed and accuracy.,Beginner,3.0,8.0,,Average,10.0,50.0,72.0,Software Engineer
Female,21,8.6,87.0,86.0,80.0,85.0,0.0,0.0,Focused on mobile application development.,Intermediate,9.0,28.0,React Native,Good,23.0,78.0,87.0,Software Engineer
Male,19,9.0,91.0,90.0,90.0,92.0,0.0,0.0,Enthusiastic about cybersecurity and ethical hacking.,Advanced,13.0,45.0,,Excellent,28.0,90.0,93.0,Software Engineer
Female,22,6.2,68.0,70.0,50.0,55.0,4.0,2.0,Requires more practice in problem-solving.,Beginner,1.0,3.0,,Poor,6.0,40.0,65.0,Software Engineer
Male,20,8.0,82.0,81.0,72.0,78.0,1.0,0.0,Exploring cloud computing and DevOps.,Intermediate,6.0,18.0,AWS,Average,16.0,68.0,80.0,Software Engineer
Female,19,9.3,94.0,93.0,96.0,93.0,0.0,0.0,Dedicated to learning new technologies and frameworks.,Advanced,14.0,48.0,Angular,Excellent,29.0,91.0,94.0,Software Engineer
Male,21,7.6,79.0,77.0,68.0,73.0,1.0,0.0,Interested in game development and graphics programming.,Intermediate,4.0,12.0,Unity,Average,14.0,62.0,75.0,Software Engineer
Female,20,8.4,86.0,85.0,77.0,82.0,0.0,0.0,Passionate about building scalable and efficient systems.,Intermediate,8.0,23.0,Node,Good,21.0,73.0,83.0,Software Engineer
Male,23,6.0,67.0,69.0,48.0,53.0,4.0,3.0,Needs to improve attention to detail.,Beginner,0.0,1.0,,Poor,4.0,38.0,58.0,Software Engineer
Female,18,9.6,96.0,95.0,97.0,96.0,0.0,0.0,Aspiring to contribute to open-source projects.,Advanced,17.0,55.0,React,Excellent,33.0,93.0,97.0,Software Engineer
Male,20,7.4,78.0,76.0,62.0,67.0,2.0,1.0,Working on building personal projects.,Beginner,2.0,7.0,,Average,9.0,52.0,73.0,Web Developer
Female,21,8.7,89.0,88.0,82.0,87.0,0.0,0.0,Focused on data visualization and business intelligence.,Intermediate,11.0,33.0,Tableau,Good,24.0,79.0,88.0,Software Engineer
Male,19,9.1,92.0,91.0,93.0,91.0,0.0,0.0,Exploring blockchain technology and cryptocurrencies.,Advanced,16.0,52.0,,Excellent,27.0,89.0,92.0,Software Engineer
Female,22,6.3,69.0,71.0,52.0,57.0,3.0,2.0,Requires more focus on academic studies.,Beginner,1.0,4.0,,Poor,7.0,42.0,62.0,Software Engineer
Male,20,7.9,81.0,80.0,71.0,76.0,1.0,0.0,Interested in front-end development and design.,Intermediate,5.0,17.0,Angular,Average,17.0,66.0,79.0,Software Engineer
Male,20,8.9,92.0,90.0,85.0,92.0,0.0,0.0,Consistently good performance in core subjects,Advanced,12.0,45.0,React,Good,25.0,88.0,85.0,Software Engineer
Female,21,9.5,95.0,93.0,98.0,95.0,0.0,0.0,Strong understanding of algorithms and data structures,Advanced,18.0,52.0,Node,Excellent,32.0,92.0,92.0,Software Engineer
Male,19,7.2,78.0,75.0,68.0,72.0,1.0,1.0,"Average performance, needs to focus on practical application",Intermediate,5.0,15.0,,Average,15.0,65.0,70.0,Software Engineer
Female,22,6.8,75.0,72.0,65.0,68.0,2.0,1.0,"Struggling with some concepts, needs extra help",Beginner,2.0,8.0,,Average,10.0,58.0,65.0,Software Engineer
Male,20,8.1,85.0,82.0,78.0,80.0,0.0,0.0,"Good overall performance, actively participates in class",Intermediate,8.0,28.0,Angular,Good,20.0,75.0,80.0,Software Engineer
Female,21,9.1,90.0,88.0,90.0,93.0,0.0,0.0,"Excellent problem-solving skills, quick learner",Advanced,15.0,48.0,Django,Excellent,30.0,90.0,90.0,Software Engineer
Male,22,6.0,68.0,65.0,55.0,60.0,3.0,2.0,Faces challenges in understanding complex topics,Beginner,1.0,5.0,,Poor,8.0,45.0,60.0,Software Engineer
Female,19,7.8,82.0,80.0,75.0,78.0,0.0,0.0,"Consistent effort, shows improvement over time",Intermediate,7.0,22.0,React,Good,18.0,70.0,75.0,Software Engineer
Male,20,8.5,88.0,85.0,82.0,88.0,0.0,0.0,"Dedicated student, actively seeks clarification",Intermediate,10.0,35.0,Node,Good,22.0,80.0,82.0,Software Engineer
Female,21,9.7,96.0,94.0,95.0,98.0,0.0,0.0,Exceptional analytical and coding abilities,Advanced,20.0,58.0,Django,Excellent,35.0,95.0,95.0,Software Engineer
Male,23,5.8,65.0,62.0,50.0,55.0,4.0,3.0,Requires significant improvement in core subjects,Beginner,0.0,2.0,,Poor,5.0,38.0,55.0,Software Engineer
Female,20,7.5,80.0,78.0,70.0,75.0,1.0,1.0,"Average performer, needs more practice",Intermediate,4.0,12.0,Angular,Average,12.0,62.0,68.0,Software Engineer
Male,21,8.2,85.0,83.0,80.0,85.0,0.0,0.0,"Good grasp of fundamentals, consistent performance",Intermediate,9.0,30.0,React,Good,20.0,78.0,80.0,Software Engineer
Female,22,9.3,93.0,91.0,93.0,96.0,0.0,0.0,Highly motivated and skilled programmer,Advanced,17.0,50.0,Node,Excellent,33.0,93.0,93.0,Software Engineer
Male,19,6.5,72.0,70.0,60.0,65.0,2.0,1.0,Needs to improve focus and time management,Beginner,3.0,10.0,,Average,10.0,55.0,62.0,Software Engineer
Female,20,8.0,83.0,81.0,77.0,82.0,0.0,0.0,Dedicated and hardworking student,Intermediate,6.0,25.0,Django,Good,19.0,73.0,78.0,Software Engineer
Male,21,7.0,75.0,73.0,63.0,67.0,1.0,1.0,"Average performance, needs to work on problem-solving",Intermediate,5.0,13.0,,Average,13.0,60.0,67.0,Software Engineer
Female,22,9.6,95.0,94.0,96.0,97.0,0.0,0.0,Exceptional student with strong analytical skills,Advanced,19.0,55.0,React,Excellent,34.0,94.0,94.0,Software Engineer
Male,19,5.5,62.0,60.0,45.0,50.0,5.0,3.0,"Significant academic challenges, needs intensive support",Beginner,0.0,0.0,,Poor,3.0,30.0,50.0,Software Engineer
Female,20,7.7,81.0,79.0,73.0,77.0,0.0,0.0,Consistent effort and good understanding of concepts,Intermediate,8.0,23.0,Angular,Good,17.0,68.0,73.0,Software Engineer
Male,21,8.4,87.0,84.0,81.0,86.0,0.0,0.0,Motivated student with a strong interest in programming,Intermediate,11.0,33.0,Node,Good,21.0,79.0,81.0,Software Engineer
Female,22,9.2,92.0,90.0,92.0,94.0,0.0,0.0,Excellent academic record and strong coding skills,Advanced,16.0,47.0,Django,Excellent,31.0,91.0,91.0,Software Engineer
Male,19,6.2,69.0,67.0,58.0,62.0,3.0,2.0,"Struggles with complex topics, requires extra guidance",Beginner,2.0,7.0,,Average,9.0,50.0,58.0,Software Engineer
Female,20,7.9,83.0,81.0,76.0,79.0,0.0,0.0,Dedicated student with a positive attitude,Intermediate,7.0,20.0,React,Good,16.0,72.0,77.0,Software Engineer
Male,21,8.7,90.0,87.0,84.0,90.0,0.0,0.0,Highly motivated and skilled programmer,Advanced,13.0,40.0,Node,Excellent,28.0,85.0,88.0,Software Engineer
Female,20,9.2,95.0,92.0,88.0,94.0,0.0,0.0,Interest in competitive programming.,Advanced,12.0,45.0,React,Excellent,35.0,88.0,92.0,Software Engineer
Male,21,7.8,82.0,85.0,76.0,80.0,1.0,0.0,Wants to explore web development.,Intermediate,5.0,20.0,Node,Good,20.0,70.0,85.0,Software Engineer
Female,19,8.5,88.0,90.0,92.0,85.0,0.0,0.0,Passionate about data science.,Intermediate,8.0,30.0,,Excellent,25.0,82.0,95.0,Software Engineer
Male,22,6.5,75.0,70.0,60.0,65.0,2.0,1.0,Struggling with algorithm concepts.,Beginner,2.0,5.0,,Average,10.0,55.0,70.0,Software Engineer
Female,20,9.0,92.0,94.0,90.0,92.0,0.0,0.0,Keen interest in machine learning.,Advanced,15.0,50.0,Django,Excellent,30.0,90.0,90.0,Software Engineer
Male,21,7.2,78.0,80.0,70.0,75.0,1.0,0.0,Focusing on improving coding skills.,Intermediate,3.0,15.0,,Good,15.0,65.0,80.0,Software Engineer
Female,19,8.0,85.0,87.0,82.0,88.0,0.0,0.0,Interested in cybersecurity.,Intermediate,7.0,25.0,React,Good,22.0,78.0,88.0,Software Engineer
Male,22,5.8,70.0,65.0,55.0,60.0,3.0,2.0,Needs to work on foundational knowledge.,Beginner,1.0,2.0,,Poor,8.0,45.0,65.0,Software Engineer
Female,20,9.5,94.0,96.0,95.0,98.0,0.0,0.0,Aspiring to be a software engineer.,Advanced,18.0,55.0,Angular,Excellent,38.0,95.0,98.0,Software Engineer
Male,21,6.9,73.0,75.0,65.0,70.0,2.0,1.0,Looking for internship opportunities.,Intermediate,4.0,10.0,,Average,12.0,60.0,75.0,Software Engineer
Female,19,8.3,86.0,89.0,85.0,82.0,0.0,0.0,Plans to specialize in data analytics.,Intermediate,9.0,35.0,Node,Good,27.0,80.0,93.0,Software Engineer
Male,22,6.2,72.0,68.0,58.0,63.0,3.0,1.0,Requires more practice with coding.,Beginner,0.0,1.0,,Poor,7.0,50.0,68.0,Software Engineer
Female,20,8.8,90.0,91.0,89.0,90.0,0.0,0.0,Intends to pursue a Master's degree.,Advanced,14.0,48.0,Django,Excellent,33.0,92.0,91.0,Software Engineer
Male,21,7.5,79.0,82.0,73.0,78.0,1.0,0.0,Wants to build a portfolio of projects.,Intermediate,6.0,18.0,,Good,18.0,68.0,82.0,Software Engineer
Female,19,8.1,84.0,86.0,80.0,86.0,0.0,0.0,Interested in UI/UX design.,Intermediate,8.0,28.0,React,Good,24.0,75.0,86.0,Software Engineer
Male,22,5.6,68.0,63.0,53.0,58.0,4.0,2.0,Needs significant improvement in core subjects.,Beginner,0.0,0.0,,Poor,5.0,40.0,60.0,Software Engineer
Female,20,9.3,93.0,95.0,93.0,96.0,0.0,0.0,Passionate about artificial intelligence.,Advanced,17.0,52.0,Angular,Excellent,36.0,93.0,96.0,Software Engineer
Male,21,7.0,74.0,77.0,68.0,73.0,1.0,0.0,Seeks guidance on career options.,Intermediate,5.0,12.0,,Average,13.0,63.0,78.0,Software Engineer
Female,19,8.4,87.0,88.0,84.0,84.0,0.0,0.0,Interested in database management.,Intermediate,10.0,32.0,Node,Good,26.0,79.0,89.0,Software Engineer
Male,22,6.0,71.0,67.0,57.0,62.0,3.0,1.0,Requires focused study and effort.,Beginner,2.0,3.0,,Poor,9.0,48.0,67.0,Software Engineer
Female,20,9.1,91.0,93.0,91.0,93.0,0.0,0.0,Keen on exploring full-stack development.,Advanced,16.0,47.0,Django,Excellent,34.0,91.0,94.0,Software Engineer
Male,21,7.3,77.0,79.0,71.0,76.0,1.0,0.0,Working on improving problem-solving skills.,Intermediate,4.0,16.0,,Average,17.0,66.0,81.0,Software Engineer
Female,19,8.2,83.0,85.0,79.0,87.0,0.0,0.0,Aspiring to work in a tech startup.,Intermediate,6.0,26.0,React,Good,23.0,77.0,84.0,Software Engineer
Male,22,5.9,69.0,64.0,54.0,59.0,4.0,2.0,Needs to strengthen fundamental concepts.,Beginner,1.0,1.0,,Poor,6.0,43.0,63.0,Software Engineer
Female,20,9.6,96.0,97.0,96.0,97.0,0.0,0.0,Determined to excel in software engineering.,Advanced,19.0,57.0,Angular,Excellent,39.0,94.0,97.0,Software Engineer
Male,20,8.5,88.0,92.0,75.0,82.0,1.0,0.0,Failed one DSA exam.,Intermediate,8.0,25.0,React,Good,15.0,78.0,85.0,Software Engineer
Female,21,9.2,91.0,94.0,88.0,90.0,0.0,0.0,Completed a data science internship.,Advanced,12.0,40.0,Django,Excellent,25.0,92.0,95.0,Software Engineer
Male,19,6.8,75.0,78.0,60.0,55.0,3.0,1.0,Struggling with algorithms.,Beginner,2.0,5.0,,Average,5.0,55.0,70.0,Software Engineer
Female,22,7.9,82.0,85.0,70.0,78.0,0.0,0.0,Participated in hackathons.,Intermediate,5.0,15.0,Node,Good,12.0,70.0,80.0,Software Engineer
Male,20,8.1,85.0,87.0,78.0,80.0,1.0,0.0,Working on a personal project.,Intermediate,7.0,20.0,React,Good,18.0,82.0,90.0,Software Engineer
Female,21,9.5,93.0,95.0,92.0,94.0,0.0,0.0,Researching machine learning techniques.,Advanced,15.0,50.0,Angular,Excellent,30.0,95.0,98.0,Software Engineer
Male,19,6.2,70.0,72.0,50.0,45.0,4.0,2.0,Needs improvement in coding skills.,Beginner,1.0,2.0,,Poor,3.0,48.0,65.0,Software Engineer
Female,22,8.7,89.0,91.0,85.0,88.0,0.0,0.0,Mentoring junior students.,Advanced,10.0,35.0,Django,Excellent,22.0,88.0,92.0,Software Engineer
Male,20,7.3,78.0,80.0,65.0,62.0,2.0,1.0,Improving problem-solving abilities.,Intermediate,3.0,8.0,Node,Average,8.0,62.0,75.0,Web Developer
Female,21,9.0,90.0,93.0,87.0,91.0,0.0,0.0,Interned at a tech company.,Advanced,13.0,45.0,React,Excellent,28.0,90.0,96.0,Software Engineer
Male,19,5.8,65.0,68.0,45.0,40.0,5.0,3.0,Requires significant effort in all subjects.,Beginner,0.0,0.0,,Poor,2.0,35.0,60.0,Software Engineer
Female,22,8.4,86.0,89.0,80.0,85.0,1.0,0.0,Developing a mobile application.,Intermediate,9.0,30.0,Angular,Good,20.0,85.0,88.0,Software Engineer
Male,20,7.0,76.0,79.0,62.0,58.0,2.0,1.0,Focusing on data structures and algorithms.,Beginner,4.0,10.0,,Average,6.0,58.0,72.0,Web Developer
Female,21,9.3,92.0,94.0,90.0,93.0,0.0,0.0,Actively contributing to open source projects.,Advanced,14.0,55.0,Django,Excellent,35.0,93.0,97.0,Software Engineer
Male,19,6.5,72.0,75.0,55.0,50.0,3.0,2.0,Needs to improve time management skills.,Beginner,1.0,3.0,,Average,4.0,52.0,68.0,Software Engineer
Female,22,8.9,88.0,90.0,86.0,89.0,0.0,0.0,Participating in coding competitions.,Advanced,11.0,38.0,React,Excellent,24.0,89.0,93.0,Software Engineer
Male,20,7.6,80.0,83.0,68.0,65.0,1.0,0.0,Expanding knowledge in web development.,Intermediate,6.0,18.0,Node,Good,14.0,68.0,78.0,Software Engineer
Female,21,9.6,94.0,96.0,93.0,95.0,0.0,0.0,Leading a research team in AI.,Advanced,16.0,60.0,Angular,Excellent,40.0,96.0,99.0,Software Engineer
Male,19,6.0,68.0,70.0,48.0,43.0,4.0,2.0,Struggling to keep up with coursework.,Beginner,0.0,1.0,,Poor,3.0,40.0,62.0,Software Engineer
Female,22,8.3,84.0,87.0,79.0,83.0,1.0,0.0,Working as a freelance developer.,Intermediate,8.0,28.0,React,Good,19.0,83.0,86.0,Software Engineer
Male,20,7.1,77.0,80.0,63.0,60.0,2.0,1.0,Focusing on system design principles.,Intermediate,5.0,12.0,Node,Average,7.0,60.0,73.0,Web Developer
Female,21,9.1,91.0,93.0,89.0,92.0,0.0,0.0,Creating innovative software solutions.,Advanced,12.0,42.0,Django,Excellent,26.0,91.0,94.0,Software Engineer
Male,19,5.5,62.0,65.0,42.0,41.0,5.0,3.0,Needs to improve study habits.,Beginner,0.0,0.0,,Poor,2.0,30.0,55.0,Software Engineer
Female,22,8.6,87.0,90.0,83.0,86.0,0.0,0.0,Mentoring other students in programming.,Advanced,10.0,33.0,Angular,Excellent,21.0,86.0,91.0,Software Engineer
Male,20,7.4,79.0,82.0,66.0,63.0,1.0,0.0,Improving proficiency in data analysis.,Intermediate,4.0,11.0,Node,Good,13.0,65.0,76.0,Software Engineer
Female,20,9.2,92.0,94.0,88.0,95.0,0.0,0.0,Enthusiastic about data science.,Advanced,12.0,45.0,React,Excellent,30.0,85.0,92.0,Software Engineer
Male,21,7.8,85.0,82.0,75.0,80.0,1.0,0.0,Interested in web development.,Intermediate,5.0,20.0,Node,Good,15.0,70.0,80.0,Software Engineer
Female,19,8.5,88.0,89.0,90.0,85.0,0.0,0.0,Passionate about mobile app development.,Intermediate,8.0,30.0,React Native,Good,25.0,78.0,88.0,Software Engineer
Male,22,6.5,72.0,75.0,60.0,65.0,2.0,1.0,Struggling with academics but keen to learn.,Beginner,2.0,5.0,,Average,8.0,55.0,70.0,Web Developer
Female,20,9.5,95.0,96.0,98.0,92.0,0.0,0.0,Aspiring to become a software engineer.,Advanced,15.0,55.0,Django,Excellent,35.0,90.0,95.0,Software Engineer
Male,21,7.0,78.0,79.0,65.0,70.0,1.0,0.0,Exploring different fields in computer science.,Beginner,3.0,10.0,,Average,10.0,60.0,75.0,Software Engineer
Female,19,8.0,82.0,85.0,82.0,78.0,0.0,0.0,Interested in cybersecurity.,Intermediate,6.0,25.0,,Good,20.0,75.0,85.0,Software Engineer
Male,22,6.0,68.0,70.0,55.0,60.0,3.0,2.0,Needs improvement in core subjects.,Beginner,1.0,2.0,,Poor,5.0,50.0,65.0,Software Engineer
Female,20,9.0,90.0,92.0,95.0,88.0,0.0,0.0,Aiming for a career in artificial intelligence.,Advanced,10.0,40.0,Tensorflow,Excellent,30.0,80.0,90.0,Software Engineer
Male,21,7.5,80.0,81.0,70.0,75.0,1.0,0.0,Focus on competitive programming.,Intermediate,4.0,15.0,,Good,12.0,65.0,78.0,Software Engineer
Female,19,8.7,89.0,90.0,92.0,87.0,0.0,0.0,Data Science enthusiast.,Intermediate,9.0,35.0,Scikit-learn,Good,28.0,82.0,91.0,Software Engineer
Male,22,5.8,65.0,68.0,50.0,55.0,4.0,3.0,Struggling with multiple backlogs.,Beginner,0.0,0.0,,Poor,3.0,45.0,60.0,Software Engineer
Female,20,9.3,93.0,95.0,96.0,90.0,0.0,0.0,Passionate about machine learning.,Advanced,13.0,50.0,PyTorch,Excellent,32.0,88.0,93.0,Software Engineer
Male,21,7.2,75.0,77.0,67.0,72.0,1.0,0.0,Interested in cloud computing.,Intermediate,3.0,12.0,AWS,Average,11.0,62.0,76.0,Software Engineer
Female,19,8.3,86.0,88.0,85.0,83.0,0.0,0.0,Full stack web development.,Intermediate,7.0,28.0,Angular,Good,22.0,76.0,87.0,Software Engineer
Male,22,6.3,70.0,72.0,58.0,63.0,2.0,1.0,Needs to improve in DSA.,Beginner,1.0,3.0,,Average,7.0,53.0,68.0,Software Engineer
Female,20,9.6,96.0,97.0,99.0,93.0,0.0,0.0,Aiming for research in AI.,Advanced,16.0,58.0,Keras,Excellent,38.0,92.0,96.0,Software Engineer
Male,21,6.8,73.0,74.0,62.0,68.0,2.0,0.0,Wants to explore game development.,Beginner,2.0,8.0,Unity,Average,9.0,58.0,72.0,Web Developer
Female,19,8.1,84.0,86.0,83.0,81.0,0.0,0.0,Interested in UI/UX design.,Intermediate,5.0,23.0,Figma,Good,18.0,73.0,83.0,Software Engineer
Male,22,5.9,66.0,69.0,52.0,57.0,4.0,2.0,Struggling with academics.,Beginner,0.0,1.0,,Poor,4.0,48.0,62.0,Software Engineer
Female,20,9.4,94.0,95.0,97.0,91.0,0.0,0.0,Future data scientist.,Advanced,14.0,53.0,Spark,Excellent,34.0,89.0,94.0,Software Engineer
Male,21,7.1,76.0,78.0,66.0,71.0,1.0,0.0,Web developer.,Intermediate,4.0,13.0,Flask,Average,10.0,61.0,75.0,Software Engineer
Female,19,8.4,87.0,89.0,86.0,84.0,0.0,0.0,Security analyst,Intermediate,8.0,29.0,Burp Suite,Good,23.0,77.0,86.0,Software Engineer
Male,22,6.2,69.0,71.0,56.0,61.0,3.0,1.0,Needs to work harder.,Beginner,1.0,4.0,,Average,6.0,52.0,67.0,Software Engineer
Female,20,9.7,97.0,98.0,99.0,94.0,0.0,0.0,AI research.,Advanced,17.0,59.0,Caffe,Excellent,39.0,93.0,97.0,Software Engineer
Male,20,8.9,88.0,85.0,82.0,90.0,0.0,0.0,Active in coding competitions.,Advanced,12.0,45.0,React,Excellent,25.0,85.0,92.0,Software Engineer
Female,21,9.2,92.0,90.0,95.0,92.0,0.0,0.0,Interested in full-stack development.,Advanced,18.0,52.0,Node,Excellent,30.0,92.0,95.0,Software Engineer
Male,19,7.5,78.0,75.0,70.0,72.0,1.0,0.0,Focusing on data structures and algorithms.,Intermediate,5.0,15.0,,Average,15.0,68.0,80.0,Software Engineer
Female,22,8.1,85.0,82.0,78.0,85.0,0.0,1.0,Working on personal projects.,Intermediate,8.0,22.0,Django,Good,20.0,75.0,88.0,Software Engineer
Male,20,6.8,70.0,68.0,65.0,60.0,2.0,1.0,Needs improvement in core subjects.,Beginner,2.0,5.0,,Average,8.0,55.0,70.0,Web Developer
Female,21,9.5,95.0,93.0,98.0,95.0,0.0,0.0,Aspiring to work in machine learning.,Advanced,20.0,60.0,Angular,Excellent,35.0,95.0,98.0,Software Engineer
Male,20,8.5,82.0,80.0,85.0,80.0,0.0,0.0,Participates in hackathons regularly.,Advanced,15.0,40.0,React,Good,28.0,80.0,90.0,Software Engineer
Female,19,7.9,80.0,78.0,75.0,78.0,1.0,0.0,Exploring different programming languages.,Intermediate,7.0,18.0,Node,Good,18.0,72.0,85.0,Software Engineer
Male,22,6.2,65.0,62.0,58.0,55.0,3.0,2.0,Struggling with academic performance.,Beginner,1.0,2.0,,Poor,5.0,48.0,65.0,Software Engineer
Female,21,9.0,90.0,88.0,92.0,88.0,0.0,0.0,Passionate about software development.,Advanced,16.0,48.0,Django,Excellent,32.0,88.0,93.0,Software Engineer
Male,20,7.3,75.0,72.0,68.0,70.0,1.0,0.0,Working on improving coding skills.,Intermediate,4.0,12.0,,Average,12.0,65.0,78.0,Software Engineer
Female,22,8.7,87.0,85.0,88.0,85.0,0.0,0.0,Interested in web development.,Advanced,14.0,35.0,React,Good,26.0,82.0,91.0,Software Engineer
Male,19,6.5,68.0,65.0,62.0,58.0,2.0,1.0,Needs to focus on studies.,Beginner,3.0,8.0,,Average,7.0,52.0,68.0,Web Developer
Female,21,9.3,93.0,91.0,96.0,93.0,0.0,0.0,Keen on competitive programming.,Advanced,19.0,55.0,Angular,Excellent,33.0,93.0,96.0,Software Engineer
Male,20,8.2,83.0,80.0,79.0,82.0,0.0,0.0,Enjoys problem-solving.,Intermediate,9.0,25.0,Node,Good,22.0,77.0,89.0,Software Engineer
Female,22,7.0,72.0,70.0,66.0,62.0,1.0,1.0,Looking for internship opportunities.,Intermediate,6.0,10.0,,Average,10.0,60.0,75.0,Software Engineer
Male,19,5.8,60.0,58.0,55.0,50.0,4.0,3.0,Requires extra effort in all subjects.,Beginner,0.0,0.0,,Poor,3.0,45.0,60.0,Software Engineer
Female,21,9.6,96.0,94.0,99.0,96.0,0.0,0.0,Determined to excel in academics.,Advanced,20.0,58.0,React,Excellent,36.0,96.0,99.0,Software Engineer
Male,20,8.4,84.0,82.0,83.0,84.0,0.0,0.0,Actively learning new technologies.,Advanced,13.0,38.0,Django,Good,27.0,79.0,87.0,Software Engineer
Female,22,7.6,77.0,75.0,72.0,75.0,1.0,0.0,Exploring different career paths.,Intermediate,7.0,20.0,,Average,17.0,69.0,82.0,Software Engineer
Male,19,6.0,63.0,60.0,57.0,53.0,3.0,2.0,Needs guidance and support.,Beginner,2.0,4.0,,Poor,6.0,47.0,63.0,Software Engineer
Female,21,9.1,91.0,89.0,93.0,90.0,0.0,0.0,Focused on achieving goals.,Advanced,17.0,50.0,Angular,Excellent,31.0,90.0,94.0,Software Engineer
Male,20,8.6,86.0,84.0,86.0,86.0,0.0,0.0,Striving for excellence.,Advanced,15.0,42.0,React,Good,29.0,81.0,88.0,Software Engineer
Female,22,7.1,73.0,71.0,67.0,64.0,1.0,1.0,Working towards a brighter future.,Intermediate,5.0,14.0,,Average,11.0,62.0,76.0,Software Engineer
Female,20,9.7,97.0,95.0,100.0,97.0,0.0,0.0,Future leader in technology.,Advanced,20.0,57.0,Node,Excellent,34.0,97.0,97.0,Software Engineer
Male,20,8.7,85.0,89.0,88.0,92.0,0.0,0.0,Interested in competitive programming,Advanced,12.0,35.0,React,Excellent,25.0,85.0,88.0,Software Engineer
Female,19,9.2,92.0,94.0,95.0,90.0,0.0,0.0,Passionate about AI and ML,Advanced,15.0,45.0,Node,Excellent,30.0,92.0,95.0,Software Engineer
Male,21,6.8,70.0,72.0,65.0,60.0,2.0,1.0,Struggling with data structures,Beginner,3.0,10.0,,Average,10.0,55.0,70.0,Software Engineer
Female,20,7.9,80.0,82.0,78.0,85.0,1.0,0.0,Interested in web development,Intermediate,8.0,20.0,Django,Good,18.0,75.0,82.0,Software Engineer
Male,22,5.9,65.0,68.0,55.0,50.0,4.0,2.0,Needs improvement in coding,Beginner,1.0,5.0,,Poor,5.0,40.0,60.0,Software Engineer
Female,19,8.5,88.0,90.0,90.0,88.0,0.0,0.0,Exploring cloud computing,Intermediate,10.0,28.0,Angular,Good,22.0,80.0,90.0,Software Engineer
Male,20,7.2,75.0,78.0,70.0,75.0,1.0,1.0,Learning full-stack development,Intermediate,6.0,15.0,React,Average,15.0,65.0,75.0,Software Engineer
Female,21,9.5,95.0,96.0,98.0,95.0,0.0,0.0,Focus on research in AI,Advanced,18.0,50.0,Node,Excellent,35.0,95.0,98.0,Software Engineer
Male,23,6.1,68.0,70.0,58.0,55.0,3.0,2.0,Requires help with algorithms,Beginner,2.0,8.0,,Poor,8.0,45.0,65.0,Software Engineer
Female,20,8.1,82.0,85.0,82.0,80.0,0.0,0.0,Interested in UI/UX design,Intermediate,9.0,25.0,React,Good,20.0,78.0,85.0,Software Engineer
Male,19,7.5,78.0,80.0,75.0,72.0,1.0,0.0,Exploring mobile app development,Intermediate,7.0,18.0,,Average,16.0,70.0,78.0,Software Engineer
Female,22,9.0,90.0,92.0,92.0,90.0,0.0,0.0,Passionate about data science,Advanced,14.0,40.0,Django,Excellent,28.0,90.0,92.0,Software Engineer
Male,21,6.5,72.0,75.0,62.0,65.0,2.0,1.0,Needs more practice in coding,Beginner,4.0,12.0,,Average,12.0,50.0,72.0,Software Engineer
Female,20,8.3,85.0,88.0,85.0,82.0,0.0,0.0,Interested in cybersecurity,Intermediate,11.0,30.0,Angular,Good,24.0,82.0,88.0,Software Engineer
Male,19,7.0,73.0,76.0,68.0,70.0,1.0,1.0,Learning web development,Intermediate,5.0,14.0,React,Average,14.0,60.0,73.0,Software Engineer
Female,21,9.3,93.0,95.0,96.0,92.0,0.0,0.0,Focus on machine learning,Advanced,16.0,48.0,Node,Excellent,32.0,93.0,95.0,Software Engineer
Male,22,6.0,66.0,69.0,56.0,52.0,3.0,2.0,Requires improvement in DSA,Beginner,1.0,6.0,,Poor,6.0,42.0,66.0,Software Engineer
Female,20,8.0,81.0,84.0,80.0,78.0,0.0,0.0,Interested in cloud computing,Intermediate,10.0,26.0,Angular,Good,21.0,77.0,84.0,Software Engineer
